Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Entertainment	节目	節目	jié mù	program / item (on a program) / CL: 臺｜台, 個｜个, 套
Entertainment	韩国	韓國	Hán guó	South Korea (Republic of Korea) / Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897
Entertainment	体	體	tǐ	body / form / style / system / substance / to experience / aspect (linguistics)
Entertainment	节	節	jiē   jié	see 節骨眼｜节骨眼  festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses / CL: 個｜个
Entertainment	韩	韓	Hán	Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897 / Korea, esp. South Korea 大韓民國｜大韩民国 / surname Han
Entertainment	育		yù	to have children / to raise or bring up / to educate
Entertainment	目		mù	eye / item / section / list / catalogue / table of contents / order (taxonomy) / goal / name / title
Location 4	桌		zhuō	table / desk / classifier for tables of guests at a banquet etc
Location 4	找		zhǎo	to try to find / to look for / to call on sb / to find / to seek / to return / to give change
Location 4	桌子		zhuō zi	table / desk / CL: 張｜张, 套
Location 4	上		shǎng   shàng	see 上聲｜上声  on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)
Location 4	椅子		yǐ zi	chair / CL: 把, 套
Location 4	下		xià	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
Location 4	见	見	jiàn   xiàn	to see / to meet / to appear (to be sth) / to interview  to appear / also written 現｜现
Location 4	椅		yǐ	chair
Location 4	房间	房間	fáng jiān	room / CL: 間｜间, 個｜个
Location 4	冰箱		bīng xiāng	icebox / freezer cabinet / refrigerator / CL: 臺｜台, 個｜个
Location 4	里	裡	lǐ   Lǐ   lǐ	lining / interior / inside / internal / also written 裏｜里  Li (surname)  li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels
Location 4	外		wài	outside / in addition / foreign / external
Location 4	房		Fáng   fáng	surname Fang  house / room / CL: 間｜间 / branch of an extended family / classifier for family members (or concubines)
Location 4	间	間	jiān   jiàn	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms  gap / to separate / to thin out (seedlings) / to sow discontent
Location 4	箱		xiāng	box / trunk / chest
Restaurant	位		wèi	position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes) / (physics) potential
Restaurant	等		děng	class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once
Restaurant	一下		yī xià	(used after a verb) give it a go / to do (sth for a bit to give it a try) / one time / once / in a while / all of a sudden / all at once
Restaurant	进	進	jìn	to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound
Restaurant	坐		Zuò   zuò	surname Zuo  to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座
Restaurant	菜单	菜單	cài dān	menu / CL: 份, 張｜张
Restaurant	英文		Yīng wén	English (language)
Restaurant	菜		cài	dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor
Restaurant	单	單	Shàn   dān	surname Shan  bill / list / form / single / only / sole / odd number / CL: 個｜个
Restaurant	英		Yīng   yīng	United Kingdom / British / England / English / abbr. for 英國｜英国  hero / outstanding / excellent / (literary) flower / blossom
Restaurant	文		Wén   wén	surname Wen  language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67
Restaurant	服务员	服務員	fú wù yuán	waiter / waitress / attendant / customer service personnel / CL: 個｜个, 位
Restaurant	点菜	點菜	diǎn cài	to order dishes (in a restaurant)
Restaurant	买单	買單	mǎi dān	to pay the restaurant bill
Restaurant	订位	訂位	dìng wèi	to reserve a seat / to book a table / reservation
Restaurant	服		fú   fù	clothes / dress / garment / to serve (in the military, a prison sentence etc) / to obey / to be convinced (by an argument) / to convince / to admire / to acclimatize / to take (medicine) / mourning clothes / to wear mourning clothes  dose (measure word for medicine) / Taiwan pr. [fu2]
Restaurant	务	務	wù	affair / business / matter / to be engaged in / to attend to / by all means
Restaurant	员	員	yuán	person / employee / member
Restaurant	订	訂	dìng	to agree / to conclude / to draw up / to subscribe to (a newspaper etc) / to order
Supermarket	些		xiē	some / few / several / measure word indicating a small amount or small number (greater than 1)
Supermarket	西		Xī   xī	the West / abbr. for Spain 西班牙 / Spanish  west
Supermarket	东	東	Dōng   dōng	surname Dong  east / host (i.e. sitting on east side of guest) / landlord
Supermarket	东西	東西	dōng xī   dōng xi	east and west  thing / stuff / person / CL: 個｜个, 件
Supermarket	帮	幫	bāng	to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society
Supermarket	超市		chāo shì	supermarket / abbr. for 超級市場｜超级市场 / CL: 家
Supermarket	水果		shuǐ guǒ	fruit / CL: 個｜个
Supermarket	超		chāo	to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-
Supermarket	市		shì	market / city / CL: 個｜个
Supermarket	果		guǒ	fruit / result / resolute / indeed / if really
Supermarket	给	給	gěi   jǐ	to / for / for the benefit of / to give / to allow / to do sth (for sb) / (grammatical equivalent of 被) / (grammatical equivalent of 把) / (sentence intensifier)  to supply / to provide
Supermarket	苹果	蘋果	píng guǒ	apple / CL: 個｜个, 顆｜颗
Supermarket	西瓜		xī guā	watermelon / CL: 顆｜颗, 粒, 個｜个
Supermarket	苹		píng   pín   píng	(artemisia) / duckweed  marsiliaceae / clover fern  apple
Supermarket	瓜		guā	melon / gourd / squash
Supermarket	鸡蛋	雞蛋	jī dàn	(chicken) egg / hen's egg / CL: 個｜个, 打
Supermarket	新鲜	新鮮	xīn xiān	fresh (experience, food etc) / freshness / novel / uncommon
Supermarket	鸡	雞	jī	fowl / chicken / CL: 隻｜只 / (slang) prostitute
Supermarket	蛋		dàn	egg / CL: 個｜个, 打 / oval-shaped thing
Supermarket	鲜	鮮	xiān   xiǎn   xiān	fresh / bright (in color) / delicious / tasty / delicacy / aquatic foods  few / rare  fish / old variant of 鮮｜鲜
Supermarket	蔬菜		shū cài	vegetables / produce / CL: 種｜种
Supermarket	蔬		shū	vegetables
Supermarket	包		Bāo   bāo	surname Bao  to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL: 個｜个, 隻｜只
Supermarket	米		Mǐ   mǐ	surname Mi  rice / CL: 粒 / meter (classifier)
Supermarket	面包	麵包	miàn bāo	bread / CL: 片, 袋, 塊｜块
Supermarket	袋		dài	pouch / bag / sack / pocket
Supermarket	糖		táng	sugar / sweets / candy / CL: 顆｜颗, 塊｜块
Hobbies 2	为	為	wéi   wèi	as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice)  because of / for / to
Hobbies 2	文		Wén   wén	surname Wen  language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67
Hobbies 2	习	習	Xí   xí	surname Xi  to practice / to study / habit
Hobbies 2	学习	學習	xué xí	to learn / to study
Hobbies 2	中文		Zhōng wén	Chinese language
Hobbies 2	为什么	為什麼	wèi shén me	why? / for what reason?
Hobbies 2	去		qù	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
Hobbies 2	因为	因為	yīn wèi	because / owing to / on account of
Hobbies 2	所以		suǒ yǐ	therefore / as a result / so / the reason why
Hobbies 2	西班牙		Xī bān yá	Spain
Hobbies 2	因		yīn	cause / reason / because
Hobbies 2	所		suǒ	actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL: 個｜个
Hobbies 2	以		Yǐ   yǐ	abbr. for Israel 以色列  to use / by means of / according to / in order to / because of / at (a certain date or place)
Hobbies 2	西		Xī   xī	the West / abbr. for Spain 西班牙 / Spanish  west
Hobbies 2	班		Bān   bān	surname Ban  team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups
Hobbies 2	牙		yá	tooth / ivory / CL: 顆｜颗
Hobbies 2	旅游	旅遊	lǚ yóu	trip / journey / tourism / travel / tour / to travel
Hobbies 2	爱好	愛好	ài hào	to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for / CL: 個｜个
Hobbies 2	新		Xīn   xīn	abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin  new / newly / meso- (chemistry)
Hobbies 2	西班牙语	西班牙語	Xī bān yá yǔ	Spanish language
Hobbies 2	轻松	輕鬆	qīng sōng	light / gentle / relaxed / effortless / uncomplicated / to relax / to take things less seriously
Hobbies 2	旅		lǚ	trip / travel / to travel / brigade (army)
Hobbies 2	好		hǎo   hào	good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms  to be fond of / to have a tendency to / to be prone to
Hobbies 2	轻	輕	qīng	light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
Hobbies 2	松		Sōng   sōng   sōng	surname Song  pine / CL: 棵  loose / to loosen / to relax
Hobbies 2	照相机	照相機	zhào xiàng jī	camera / CL: 個｜个, 架, 部, 台, 隻｜只
Hobbies 2	印度		Yìn dù	India
Hobbies 2	拍照		pāi zhào	to take a picture
Hobbies 2	拍		pāi	to pat / to clap / to slap / to swat / to take (a photo) / to shoot (a film) / racket (sports) / beat (music)
Hobbies 2	照		zhào	according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before
Hobbies 2	印		Yìn   yìn	surname Yin / abbr. for 印度  to print / to mark / to engrave / a seal / a print / a stamp / a mark / a trace / image
Hobbies 2	相		Xiāng   xiāng   xiàng	surname Xiang  each other / one another / mutually  appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)
Hobbies 2	度		dù   duó	to pass / to spend (time) / measure / limit / extent / degree of intensity / degree (angles, temperature etc) / kilowatt-hour / classifier for events and occurrences  to estimate / Taiwan pr. [duo4]
Dining 1	海		Hǎi   hǎi	surname Hai  ocean / sea / CL: 個｜个, 片 / great number of people or things / (dialect) numerous
Dining 1	本		běn	root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc
Dining 1	还	還	Huán   hái   huán	surname Huan  still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else  to pay back / to return
Dining 1	上海		Shàng hǎi	Shanghai municipality, central east China, abbr. to 滬｜沪
Dining 1	菜		cài	dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor
Dining 1	还是	還是	hái shi	or / still / nevertheless / had better
Dining 1	日本		Rì běn	Japan / Japanese
Dining 1	肉		ròu	meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute
Dining 1	米饭	米飯	mǐ fàn	(cooked) rice
Dining 1	面条	麵條	miàn tiáo	noodles
Dining 1	鸡肉	雞肉	jī ròu	chicken meat
Dining 1	牛肉		niú ròu	beef
Dining 1	猪肉	豬肉	zhū ròu	pork
Dining 1	羊肉		yáng ròu	mutton / goat meat
Dining 1	饮料	飲料	yǐn liào	drink / beverage
Dining 1	猪	豬	zhū	hog / pig / swine / CL: 口, 頭｜头
Dining 1	羊		Yáng   yáng	surname Yang  sheep / goat / CL: 頭｜头, 隻｜只
Dining 1	饮	飲	yǐn   yìn	to drink  to give (animals) water to drink
Dining 1	料		liào	material / stuff / grain / feed / to expect / to anticipate / to guess
Health 1	作		zuō   zuò	worker / workshop / (slang) troublesome / high-maintenance (person)  to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works
Health 1	得		dé   de   děi	to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished  structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc  to have to / must / ought to / to need to
Health 1	觉	覺	jiào   jué	a nap / a sleep / CL: 場｜场  to feel / to find that / thinking / awake / aware
Health 1	工		gōng	work / worker / skill / profession / trade / craft / labor
Health 1	累		lěi   lèi   Léi   léi	to accumulate / to involve or implicate (Taiwan pr. [lei4]) / continuous / repeated  tired / weary / to strain / to wear out / to work hard  surname Lei  rope / to bind together / to twist around
Health 1	工作		gōng zuò	to work / (of a machine) to operate / job / work / task / CL: 個｜个, 份, 項｜项
Health 1	觉得	覺得	jué de	to think / to feel
Health 1	有点儿	有點兒	yǒu diǎnr	slightly / a little / somewhat
Health 1	胖		pán   pàng	healthy / at ease  fat / plump
Health 1	健康		jiàn kāng	health / healthy
Health 1	不要		bù yào	don't! / must not
Health 1	健		jiàn	healthy / to invigorate / to strengthen / to be good at / to be strong in
Health 1	康		Kāng   kāng	surname Kang  healthy / peaceful / abundant
Health 1	身体	身體	shēn tǐ	the body / one's health / CL: 具, 個｜个 / in person
Health 1	注意		zhù yì	to take note of / to pay attention to
Health 1	身		shēn	body / life / oneself / personally / one's morality and conduct / the main part of a structure or body / pregnant / classifier for sets of clothes: suit, twinset / Kangxi radical 158
Health 1	注		zhù   zhù	to inject / to pour into / to concentrate / to pay attention / stake (gambling) / classifier for sums of money / variant of 註｜注  to register / to annotate / note / comment
Health 1	意		Yì   yì	Italy / Italian / abbr. for 意大利  idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate
Health 1	开始	開始	kāi shǐ	to begin / beginning / to start / initial / CL: 個｜个
Health 1	锻炼	鍛鍊	duàn liàn	to toughen / to temper / to engage in physical exercise / to work out / (fig.) to develop one's skills / to train oneself
Health 1	开	開	kāi	to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format
Health 1	锻	鍛	duàn	to forge / to discipline / wrought
Health 1	始		shǐ	to begin / to start / then / only then
Health 1	炼	煉	liàn	to refine / to smelt
Transportation	铁	鐵	Tiě   tiě	surname Tie  iron (metal) / arms / weapons / hard / strong / violent / unshakeable / determined / close / tight (slang)
Transportation	店		diàn	inn / shop / store / CL: 家
Transportation	地		de   dì	-ly / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct  earth / ground / field / place / land / CL: 片
Transportation	酒		jiǔ	wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL: 杯, 瓶, 罐, 桶, 缸
Transportation	酒店		jiǔ diàn	wine shop / pub (public house) / hotel / restaurant / (Tw) hostess club
Transportation	地铁	地鐵	dì tiě	subway / metro
Transportation	坐		Zuò   zuò	surname Zuo  to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座
Transportation	不准		bù zhǔn	not to allow / to forbid / to prohibit
Transportation	准		zhǔn   zhǔn	to allow / to grant / in accordance with / in the light of  accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-
Transportation	出租车	出租車	chū zū chē	taxi / (Taiwan) rental car
Transportation	站		zhàn	station / to stand / to halt / to stop / branch of a company or organization / website
Transportation	下		xià	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
Transportation	车	車	Chē   chē   jū	surname Che  car / vehicle / CL: 輛｜辆 / machine / to shape with a lathe  war chariot (archaic) / rook (in Chinese chess) / rook (in chess)
Transportation	出		chū	to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc
Transportation	租		zū	to hire / to rent / to charter / to rent out / to lease out / rent / land tax
Transportation	可以		kě yǐ	can / may / possible / able to / not bad / pretty good
Transportation	汽车	汽車	qì chē	car / automobile / bus / CL: 輛｜辆
Transportation	公共		gōng gòng	public / common / communal
Transportation	船		chuán	boat / vessel / ship / CL: 條｜条, 艘, 隻｜只
Transportation	公		gōng	public / collectively owned / common / international (e.g. high seas, metric system, calendar) / make public / fair / just / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen) / father-in-law / male (animal)
Transportation	汽		qì	steam / vapor
Shopping 1	件		jiàn	item / component / classifier for events, things, clothes etc
Shopping 1	衣		yī   yì	clothes / CL: 件  to dress / to wear / to put on (clothes)
Shopping 1	商		Shāng   shāng	Shang Dynasty (c. 1600-1046 BC) / surname Shang  commerce / merchant / dealer / to consult / 2nd note in pentatonic scale / quotient (as in 智商, intelligence quotient)
Shopping 1	商店		shāng diàn	store / shop / CL: 家, 個｜个
Shopping 1	衣服		yī fu	clothes / CL: 件, 套
Shopping 1	开	開	kāi	to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format
Shopping 1	关	關	Guān   guān	surname Guan  mountain pass / to close / to shut / to turn off / to concern / to involve
Shopping 1	门	門	Mén   mén	surname Men  gate / door / CL: 扇 / gateway / doorway / CL: 個｜个 / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)
Shopping 1	欢迎	歡迎	huān yíng	to welcome / welcome
Shopping 1	迎		yíng	to welcome / to meet / to face / to forge ahead (esp. in the face of difficulties)
Shopping 1	您		nín	you (courteous, as opposed to informal 你)
Shopping 1	帮忙	幫忙	bāng máng	to help / to lend a hand / to do a favor / to do a good turn
Shopping 1	需要		xū yào	to need / to want / to demand / to require / requirement / need
Shopping 1	需		xū	to require / to need / to want / necessity / need
Shopping 1	随便	隨便	suí biàn	as one wishes / as one pleases / at random / negligent / casual / wanton
Shopping 1	随	隨	Suí   suí	surname Sui  to follow / to comply with / varying according to... / to allow / subsequently
Shopping 1	便		biàn   pián	plain / informal / suitable / convenient / opportune / to urinate or defecate / equivalent to 就: then / in that case / even if / soon afterwards  see 便宜
Languages	字		zì	letter / symbol / character / word / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China
Languages	读	讀	dòu   dú	comma / phrase marked by pause  to read / to study / reading of word (i.e. pronunciation), similar to 拼音
Languages	一点儿		yī diǎnr	erhua variant of 一點｜一点
Languages	意思		yì si	idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / CL: 個｜个 / to give as a small token / to do sth as a gesture of goodwill etc
Languages	写	寫	xiě	to write
Languages	错	錯	Cuò   cuò	surname Cuo  mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver
Languages	难	難	nán   nàn	difficult (to...) / problem / difficulty / difficult / not good  disaster / distress / to scold
Languages	思		sī	to think / to consider
Time 3	秒		miǎo	second (unit of time) / arc second (angular measurement unit) / (coll.) instantly
Time 3	刻		kè	quarter (hour) / moment / to carve / to engrave / to cut / oppressive / classifier for short time intervals
Time 3	差		chā   chà   chāi	difference / discrepancy / to differ / error / to err / to make a mistake  to differ from / to fall short of / lacking / wrong / inferior  to send / to commission / messenger / mission
Time 3	小时	小時	xiǎo shí	hour / CL: 個｜个
Time 3	分钟	分鐘	fēn zhōng	minute
Time 3	小		xiǎo	small / tiny / few / young
Time 3	时	時	Shí   shí	surname Shi  o'clock / time / when / hour / season / period
Time 3	钟	鍾	Zhōng   zhōng   zhōng	surname Zhong  handleless cup / goblet / to concentrate / variant of 鐘｜钟  clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座
Time 3	钟	鍾	Zhōng   zhōng   zhōng	surname Zhong  handleless cup / goblet / to concentrate / variant of 鐘｜钟  clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座
Time 3	整		zhěng	exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb
Time 3	早		zǎo	early / morning / Good morning! / long ago / prematurely
Time 3	晚		wǎn	evening / night / late
Dining 2	杯		bēi	cup / trophy cup / classifier for certain containers of liquids: glass, cup
Dining 2	啤		pí	beer
Dining 2	德		Dé   dé	Germany / German / abbr. for 德國｜德国  virtue / goodness / morality / ethics / kindness / favor / character / kind
Dining 2	德国	德國	Dé guó	Germany / German
Dining 2	啤酒		pí jiǔ	beer (loanword) / CL: 杯, 瓶, 罐, 桶, 缸
Dining 2	果汁		guǒ zhī	fruit juice
Dining 2	汁		zhī	juice
Dining 2	香蕉		xiāng jiāo	banana / CL: 枝, 根, 個｜个, 把
Dining 2	蛋糕		dàn gāo	cake / CL: 塊｜块, 個｜个
Dining 2	块	塊	kuài	lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units
Dining 2	香		xiāng	fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL: 根
Dining 2	蕉		jiāo   qiáo	banana  see 蕉萃
Dining 2	糕		gāo	cake
Dining 2	碗		wǎn	bowl / cup / CL: 隻｜只, 個｜个
Dining 2	杯子		bēi zi	cup / glass / CL: 個｜个, 隻｜只
Dining 2	盘子	盤子	pán zi	tray / plate / dish / CL: 個｜个
Dining 2	盘	盤	pán	plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess
Dining 2	筷子		kuài zi	chopsticks / CL: 對｜对, 根, 把, 雙｜双
Dining 2	刀		Dāo   dāo	surname Dao  knife / blade / single-edged sword / cutlass / CL: 把 / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs
Dining 2	叉		chā   chá   chǎ	fork / pitchfork / prong / pick / cross / intersect / 'X'  to cross / be stuck  to diverge / to open (as legs)
Dining 2	筷		kuài	chopstick
Dining 2	勺子		sháo zi	scoop / ladle / CL: 把
Dining 2	勺		sháo	spoon / ladle / CL: 把 / abbr. for 公勺, centiliter (unit of volume)
Existence	室		Shì   shì	surname Shi  room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy
Existence	办	辦	bàn	to do / to manage / to handle / to go about / to run / to set up / to deal with
Existence	辆	輛	liàng	classifier for vehicles
Existence	办公室	辦公室	bàn gōng shì	office / business premises / bureau / CL: 間｜间
Existence	本		běn	root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc
Existence	瓶子		píng zi	bottle / CL: 個｜个
Existence	张	張	Zhāng   zhāng	surname Zhang  to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes
Existence	照片		zhào piàn	photograph / picture / CL: 張｜张, 套, 幅
Existence	瓶		píng	bottle / vase / pitcher / CL: 個｜个 / classifier for wine and liquids
Existence	片		piān   piàn	disk / sheet  thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc
Existence	只		zhǐ   zhǐ   zhī	only / merely / just / but  grain that has begun to ripen / variant of 衹｜只  classifier for birds and certain animals, one of a pair, some utensils, vessels etc
Existence	鸟	鳥	niǎo	bird / CL: 隻｜只, 群 / (dialect) to pay attention to / (intensifier) damned / goddam
Existence	树	樹	shù	tree / CL: 棵 / to cultivate / to set up
Sports 1	步		Bù   bù	surname Bu  a step / a pace / walk / march / stages in a process / situation
Sports 1	跑		páo   pǎo	(of an animal) to paw (the ground)  to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off
Sports 1	泳		yǒng	swimming / to swim
Sports 1	游		Yóu   yóu   yóu	surname You  to swim / variant of 遊｜游  to walk / to tour / to roam / to travel
Sports 1	游泳		yóu yǒng	swimming / to swim
Sports 1	跑步		pǎo bù	to run / to jog / (military) to march at the double
Sports 1	踢		tī	to kick / to play (e.g. soccer) / (slang) butch (in a lesbian relationship)
Sports 1	足球		zú qiú	soccer ball / a football / CL: 個｜个 / soccer / football
Sports 1	打		dá   dǎ	dozen (loanword)  to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from
Sports 1	篮球	籃球	lán qiú	basketball / CL: 個｜个, 隻｜只
Sports 1	足		jù   zú	excessive  foot / to be sufficient / ample
Sports 1	篮	籃	lán	basket (receptacle) / basket (in basketball)
Sports 1	球		qiú	ball / sphere / globe / CL: 個｜个 / ball game / match / CL: 場｜场
Sports 1	运动	運動	yùn dòng	to move / to exercise / sports / exercise / motion / movement / campaign / CL: 場｜场
Sports 1	马	馬	Mǎ   mǎ	surname Ma / abbr. for Malaysia 馬來西亞｜马来西亚  horse / CL: 匹 / horse or cavalry piece in Chinese chess / knight in Western chess
Sports 1	骑	騎	jì   qí	(Taiwan) saddle horse / mounted soldier  to ride (an animal or bike) / to sit astride / classifier for saddle-horses
Sports 1	运	運	yùn	to move / to transport / to use / to apply / fortune / luck / fate
Sports 1	动	動	dòng	(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞｜动词, verb
Invitiation 1	吧		bā   ba	bar (loanword) (serving drinks, or providing Internet access etc) / to puff (on a pipe etc) / (onom.) bang / abbr. for 貼吧｜贴吧  (modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume.
Invitiation 1	出去		chū qù	to go out
Invitiation 1	时间	時間	shí jiān	time / period / CL: 段
Invitiation 1	时候	時候	shí hou	time / length of time / moment / period
Invitiation 1	空		kōng   kòng	empty / air / sky / in vain  to empty / vacant / unoccupied / space / leisure / free time
Invitiation 1	请	請	qǐng	to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
Invitiation 1	来	來	lái	to come / to arrive / to come round / ever since / next
Invitiation 1	候		hòu	to wait / to inquire after / to watch / season / climate / (old) period of five days
Invitiation 1	过	過	Guò   guò   guo	surname Guo  to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-  (experienced action marker)
Invitiation 1	一起		yī qǐ	in the same place / together / with / altogether (in total)
Invitiation 1	家	傢	jiā   Jiā   jiā	see 傢伙｜家伙  surname Jia  home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL: 個｜个
Invitiation 1	不好意思		bù hǎo yì si	to feel embarrassed / to find it embarrassing / to be sorry (for inconveniencing sb)
Invitiation 1	给	給	gěi   jǐ	to / for / for the benefit of / to give / to allow / to do sth (for sb) / (grammatical equivalent of 被) / (grammatical equivalent of 把) / (sentence intensifier)  to supply / to provide
Invitiation 1	告诉	告訴	gào sù   gào su	to press charges / to file a complaint  to tell / to inform / to let know
Invitiation 1	告		gào	to say / to tell / to announce / to report / to denounce / to file a lawsuit / to sue
Invitiation 1	诉	訴	sù	to complain / to sue / to tell
Invitiation 1	约会	約會	yuē huì	appointment / engagement / date / CL: 次, 個｜个 / to arrange to meet
Invitiation 1	浪漫		làng màn	romantic
Invitiation 1	浪		làng	wave / breaker / unrestrained / dissipated
Invitiation 1	漫		màn	free / unrestrained / to inundate
Health 2	该	該	gāi	should / ought to / probably / must be / to deserve / to owe / to be sb's turn to do sth / that / the above-mentioned
Health 2	病		bìng	illness / CL: 場｜场 / disease / to fall ill / defect
