Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Contact	电话	電話	diàn huà	telephone / CL: 部 / phone call / CL: 通 / phone number
Contact	电	電	diàn	electric / electricity / electrical
Contact	话	話	huà	dialect / language / spoken words / speech / talk / words / conversation / what sb said / CL: 種｜种, 席, 句, 口, 番
Contact	号码	號碼	hào mǎ	number / CL: 堆, 個｜个
Contact	多少		duō shǎo   duō shao	number / amount / somewhat  how much / how many / which (number) / as much as
Contact	多		duō	many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means 'how'
Contact	少		shǎo   shào	few / less / to lack / to be missing / to stop (doing sth) / seldom  young
Contact	号	號	háo   hào	roar / cry / CL: 個｜个  ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people
Contact	码	碼	mǎ	weight / number / code / to pile / to stack / classifier for length or distance (yard), happenings etc
Nation	中国	中國	Zhōng guó	China
Nation	人		rén	man / person / people / CL: 個｜个, 位
Nation	中		Zhōng   zhōng   zhòng	China / Chinese / surname Zhong  within / among / in / middle / center / while (doing sth) / during / (dialect) OK / all right  to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)
Nation	国	國	Guó   guó	surname Guo  country / nation / state / national / CL: 個｜个
Nation	哪		nǎ   na   něi	how / which  (particle equivalent to 啊 after noun ending in -n)  which? (interrogative, followed by classifier or numeral-classifier)
Nation	英国	英國	Yīng guó	United Kingdom 聯合王國｜联合王国 / United Kingdom of Great Britain and Northern Ireland / abbr. for England 英格蘭｜英格兰
Nation	美国	美國	Měi guó	United States / USA / US
Nation	国	國	Guó   guó	surname Guo  country / nation / state / national / CL: 個｜个
Nation	英		Yīng   yīng	United Kingdom / British / England / English / abbr. for 英國｜英国  hero / outstanding / excellent / (literary) flower / blossom
Nation	美		Měi   měi	the Americas / abbr. for 美洲 / USA / abbr. for 美國｜美国  beautiful / very satisfactory / good / to beautify / to be pleased with oneself
Nation	都		Dū   dōu   dū	surname Du  all / both / entirely / (used for emphasis) even / already / (not) at all  capital city / metropolis
